Action,Input,Expected result,Group
<p>Kiểm tra logic 'En-suite bathroom' khi có Bedroom nhưng chưa chọn liên kết</p>,"<ol><li>Đã cấu hình 1 Bedroom (Bedroom 1).</li><li>Mở form Add bathroom, chọn 'Is the bathroom private?' = 'Yes'.</li><li>Chọn 'What type of bathroom is it?' = <strong>'En-suite bathroom (attached to or inside a bedroom)'</strong>.</li><li>Để trống dropdown <strong>'Which bedroom?'</strong>.</li><li>Click <strong>'Add'</strong>.</li></ol>",<ol><li>Thông báo lỗi hiển thị dưới dropdown 'Which bedroom?': <strong>[Exact error copy from spec]</strong> (Giả sử: <strong>Vui lòng chọn phòng ngủ để liên kết phòng tắm này.</strong>)</li><li>Form vẫn mở.</li></ol>,Xác Thực Quy Tắc Nghiệp Vụ - En-suite Logic (Validation)
<p>Thêm thành công phòng tắm (Private Full Bathroom)</p>,"<ol><li>Mở form Add bathroom.</li><li>Chọn Private: Yes, Type: Full bathroom, Toilet: Yes, Shower: Yes, Bath: No.</li><li>Click <strong>'Add'</strong>.</li></ol>",<ol><li>Form đóng/bottom sheet đóng.</li><li>Card Bathroom mới hiển thị (ví dụ: Bathroom 1).</li><li>Mô tả phòng tắm hiển thị: <strong>Private · Full bathroom</strong>.</li><li>Nút <strong>'Complete'</strong> được thay thế bằng biểu tượng <strong>Edit</strong>.</li></ol>,Luồng Thành Công - Bathroom (Private)
<p>Thêm thành công phòng tắm (Shared WC)</p>,"<ol><li>Mở form Add bathroom.</li><li>Chọn Private: No (Shared), Type: WC, Toilet: Yes, Shower: No shower, Bath: No.</li><li>Click <strong>'Add'</strong>.</li></ol>",<ol><li>Card Bathroom mới hiển thị (ví dụ: Bathroom 2).</li><li>Mô tả phòng tắm hiển thị: <strong>Shared · WC</strong>.</li></ol>,Luồng Thành Công - Bathroom (Shared)
<p>Xác thực việc loại bỏ phòng ngủ khỏi danh sách liên kết En-suite</p>,"<ol><li>Có Bedroom A và Bedroom B.</li><li>Cấu hình Bathroom 1 là En-suite, liên kết với <strong>Bedroom A</strong>.</li><li>Mở form cấu hình Bathroom 2.</li><li>Kiểm tra dropdown 'Which bedroom?'.</li></ol>",<p>Dropdown 'Which bedroom?' chỉ hiển thị <strong>Bedroom B</strong>. Bedroom A bị loại khỏi danh sách vì đã được liên kết với Bathroom 1.</p>,Xác Thực Quy Tắc Nghiệp Vụ - En-suite Liên Kết
<p>Mở form cấu hình bếp và kiểm tra giá trị mặc định</p>,<p>Click <strong>'Add kitchen'</strong>.</p>,<ol><li>Form inline/bottom sheet mở.</li><li>Trường <strong>'Type of kitchen'</strong> mặc định là <strong>'Separate kitchen'</strong>.</li><li>Nút <strong>'Add'</strong> hiển thị.</li></ol>,Giá Trị Mặc Định & Điền Sẵn - Kitchen
<p>Thêm thành công Kitchen và xác thực hiển thị card</p>,<ol><li>Mở form Add kitchen.</li><li>Chọn Type: <strong>Kitchenette</strong>.</li><li>Click <strong>'Add'</strong>.</li></ol>,<ol><li>Form đóng/bottom sheet đóng.</li><li>Card Kitchen mới hiển thị với tên Localization (ví dụ: Kitchen 1).</li><li>Dưới tên Kitchen là loại: <strong>'Kitchenette'</strong>.</li><li>Nút <strong>'Remove'</strong> và <strong>'Edit'</strong> hiển thị trên card.</li></ol>,Luồng Thành Công - Kitchen
<p>Xác thực hành vi của nút Cancel trong form inline (Desktop)</p>,<ol><li>Click 'Add kitchen' (mở form inline).</li><li>Nhập dữ liệu không lưu.</li><li>Click <strong>'Cancel'</strong>.</li></ol>,"<ol><li>Form inline đóng.</li><li>Nút <strong>'Add kitchen'</strong> hiển thị lại.</li><li>Dữ liệu đã nhập không được lưu (DB không cập nhật).</li><li>Các nút hành động chính (Save changes, Save and continue) trở lại trạng trạng thái <strong>Enabled</strong>.</li></ol>",Xử Lý Hủy Bỏ
<p>Xác thực hành vi xóa card phòng và sự bền vững dữ liệu</p>,<ol><li>Đã có Kitchen 1 (Separate kitchen) được tạo nhưng chưa lưu toàn bộ bước.</li><li>Click <strong>'Remove'</strong> trên Kitchen 1 card.</li><li>Điều hướng ra khỏi trang và click <strong>'Cancel'</strong> trên modal cảnh báo native.</li><li>Quay lại trang cấu hình phòng.</li></ol>,<ol><li>Card Kitchen 1 biến mất khỏi UI ngay lập tức (không toast).</li><li>Sau khi quay lại trang: Kitchen 1 vẫn <strong>không</strong> xuất hiện.</li><li>Nếu người dùng click 'Save changes' sau khi Remove: Database phải lưu trạng thái 0 kitchen.</li></ol>,Xử Lý Xóa & Độ Bền Vững
<p>Kiểm tra luồng Mobile khi thêm phòng ngủ</p>,<ol><li>Người dùng truy cập trang trên Mobile.</li><li>Click <strong>'Add bedroom'</strong>.</li><li>Cấu hình đầy đủ và click <strong>'Add'</strong>.</li></ol>,"<ol><li>Hành động 'Add bedroom' mở <strong>bottom sheet</strong> thay vì form inline.</li><li>Sau khi click 'Add' với dữ liệu hợp lệ, bottom sheet đóng.</li><li>Card Bedroom mới hiển thị (không có toast thành công).</li></ol>",Xác Thực Hành Vi Mobile
<p>Kiểm tra hành vi Import Listing (Bedroom)</p>,<ol><li>Import một listing có 2 phòng ngủ chưa được cấu hình chi tiết giường.</li><li>Chưa lưu bước cấu hình phòng.</li></ol>,"<ol><li>Hai card phòng ngủ hiển thị (ví dụ: Bedroom 1, Bedroom 2 - tên Localization).</li><li>Mỗi card hiển thị nhãn <strong>'Add details'</strong>.</li><li>Mỗi card có nút <strong>'Remove'</strong>.</li><li>Nút hành động chính (Save changes, Save and continue) được bật.</li></ol>",Xác Thực Trạng Thái Import
<p>Kiểm tra hành vi Edit phòng (Desktop)</p>,<ol><li>Đã có Bedroom 1 đầy đủ dữ liệu.</li><li>Click biểu tượng <strong>Edit</strong> trên Bedroom 1.</li></ol>,"<ol><li>Form inline mở tại vị trí Bedroom 1, với dữ liệu <strong>đã được điền sẵn</strong>.</li><li>Nút 'Add bedroom' bị ẩn.</li><li>Nút hành động chính (Save changes, Save and continue) bị <strong>Disabled</strong>.</li><li>Nhãn nút gửi form là <strong>'Update'</strong>.</li></ol>",Xác Thực Chức Năng Edit
